TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
2773' 353'P,Central Cascades,,,,,0,0,,,1/18/11,1,https://www.wta.org/go-hiking/hikes/2773-353p
360 Trails,Puget Sound and Islands,,,,,0,0,47.38905261,-122.6838756,,0,https://www.wta.org/go-hiking/hikes/360-trails
45 Mile Sheep Drive,Central Cascades,4.9,one-way,,3144,4,5,48.024502,-120.650212,8/9/08,4,https://www.wta.org/go-hiking/hikes/45-mile-sheep-drive
520 Trail,Puget Sound and Islands,4.9,one-way,164,164,2.5,2,47.64513596,-122.3018633,8/14/20,12,https://www.wta.org/go-hiking/hikes/520-trail
76 Creek,North Cascades,,,,,0,0,,,9/21/20,7,https://www.wta.org/go-hiking/hikes/76-creek-trail
A Quiet Place Park,Puget Sound and Islands,,,,,0,0,47.803898,-122.492654,10/10/20,1,https://www.wta.org/go-hiking/hikes/a-quiet-place-park
Aasgard Pass,Central Cascades,12.2,roundtrip,4400,7800,4.25,8,47.52792674,-120.8206757,10/17/20,232,https://www.wta.org/go-hiking/hikes/aasgard-pass
Abercrombie Mountain Trail,Eastern Washington,7.3,roundtrip,2350,7300,2.57,7,48.90598404,-117.5207518,10/4/20,25,https://www.wta.org/go-hiking/hikes/abercrombie
Abernathy Pass via Cedar Creek,North Cascades,18,roundtrip,3400,6400,3.75,8,48.579167,-120.478683,9/22/20,15,https://www.wta.org/go-hiking/hikes/abernathy-pass
Abernathy Peak,North Cascades,,,,,0,0,48.43521818,-120.5195303,9/27/20,16,https://www.wta.org/go-hiking/hikes/abernathy-peak
Abiel Pass,Snoqualmie Region,9,roundtrip,3400,5600,2.4,5,,,7/21/20,3,https://www.wta.org/go-hiking/hikes/abiel-pass
Abiel Peak,Snoqualmie Region,,,,,4,1,47.35278025,-121.4703369,8/15/20,38,https://www.wta.org/go-hiking/hikes/abiel-peak
Adams Creek Meadows,South Cascades,8,roundtrip,2300,6840,3.89,9,46.28840227,-121.5527686,7/15/17,9,https://www.wta.org/go-hiking/hikes/adams-creek-meadows
Admiralty Inlet Natural Area Preserve,Puget Sound and Islands,2.3,trails,,,0,0,48.17805361,-122.6860793,3/6/21,4,https://www.wta.org/go-hiking/hikes/admiralty-inlet-natural-area-preserve
Adventure Trail,Issaquah Alps,1.4,roundtrip,300,800,2.17,6,47.52639134,-122.0085463,1/30/21,66,https://www.wta.org/go-hiking/hikes/adventure
Agnes Gorge,Central Cascades,5.5,roundtrip,300,2000,3,5,48.38073333,-120.8402833,7/6/20,18,https://www.wta.org/go-hiking/hikes/agnes-gorge
Ahtanum State Forest - Eagle's Nest,South Cascades,0.1,roundtrip,17,6183,2,1,46.51101876,-121.1756155,5/22/20,4,https://www.wta.org/go-hiking/hikes/eagles-nest
Ahtanum State Forest - Whites Ridge,Central Washington,10.9,roundtrip,1900,5000,5,1,46.523175,-121.009681,1/9/21,8,https://www.wta.org/go-hiking/hikes/whites-ridge
Airplane Lake (Sultan),Central Cascades,,,,,3.75,4,,,7/22/18,8,https://www.wta.org/go-hiking/hikes/airplane-lake-sultan
Airport Levee Trail,Southwest Washington,2,one-way,,200,0,0,46.66932147,-122.9840738,8/21/19,1,https://www.wta.org/go-hiking/hikes/airport-levee-trail
